Full Address,Latitude,Longitude,Transaction Type,Sold Price,Sold Date,Property Type,PhotoURL
"463 Shadow Run Drive, Groveport, OH 43125",39.845256,-82.896092,Buyer,"285,000",12/27/2021,Residential
"5407 Centner Lane, Columbus, OH 43232",39.916050,-82.850718,Buyer,"160,500",12/27/2021,Residential
"967 Cypress Ridge Place, Columbus, OH 43228",39.932157,-83.129237,Buyer,"252,000",01/03/2022,Residential
"1380 E 18th Avenue, Columbus, OH 43211",40.001152,-82.970681,Buyer,"125,000",01/10/2022,Residential
"1530 Slade Avenue 102, Columbus, OH 43235",40.066741,-83.059879,Buyer,"119,000",01/14/2022,Residential
"4814 Oakland Ridge Drive, OH 43065",40.195647,-83.122363,Seller/Listing,"395,000",01/18/2022,Residential
"5744 Summerville Drive, Columbus, OH 43119",39.961290,-83.156199,Seller/Listing,"288,000",01/20/2022,Residential
"6121 Hazelmere, Columbus, OH 43119",39.926535,-83.158232,Buyer,"240,000",01/20/2022,Residential
"216 N Granger Street, Granville, OH 43023",40.069143,-82.514594,Buyer,"600,000",01/20/2022,Residential
"995 Schauer Drive, Columbus, OH 43119",39.930849,-83.157456,Buyer,"272,000",01/25/2022,Residential
"6209 Nasby Drive, Columbus, OH 43119",39.928304,-83.160062,Buyer,"260,000",01/28/2022,Residential
"7172 Serenoa Drive, Columbus, OH 43068",39.978203,-82.809493,Seller/Listing,"309,000",01/31/2022,Residential
"1456 Pinehurst Court, Columbus, OH 43223",39.924104,-83.046292,Buyer,"205,000",01/31/2022,Residential
"4078 Blendon Way Drive 96B, Columbus, OH 43230",40.068423,-82.869762,Buyer,"204,000",02/04/2022,Residential
"4863 Northtowne Boulevard, Columbus, OH 43229",40.068167,-82.958837,Seller/Listing,"265,000",02/16/2022,Residential
"1414 Cordell Avenue, Columbus, OH 43211",40.011445,-82.970590,Buyer,"165,000",02/18/2022,Residential
"4031 Parkcove Drive 17E, Columbus, OH 43230",40.067653,-82.866744,Buyer,"220,000",02/18/2022,Residential
"1830 Mcdowell Ridge Drive, Columbus, OH 43223",39.926612,-83.045383,Buyer,"246,300",02/28/2022,Residential
"760 Oakley Drive, Delaware, OH 43015",40.250215,-83.036352,Seller/Listing,"533,500",02/28/2022,Residential
"467 Wehrle Avenue, Newark, OH 43055",40.048629,-82.416742,Buyer,"84,900",03/09/2022,Residential
"7741 Sherridon Drive, OH 43004",39.994987,-82.801618,Buyer,"335,000",03/09/2022,Residential
"8328 Parori Lane, Columbus, OH 43004",40.002098,-82.782993,Buyer,"280,000",03/09/2022,Residential
"950 Radbourne Drive, Columbus, OH 43207",39.882946,-82.973350,Buyer,"275,000",03/18/2022,Residential
"951 Timothy Court, Gahanna, OH 43230",40.044162,-82.892327,Buyer,"380,000",03/21/2022,Residential
"5381 Winchester Cathedral Drive, Columbus, OH 43110",39.872812,-82.807965,Buyer,"261,000",03/28/2022,Residential
"2363 Woodland Park Drive, Ontario, OH 44903",40.750457,-82.599372,Seller/Listing,"700,000",03/30/2022,Residential
"8121 Crossgate Court N, Dublin, OH 43017",40.134567,-83.139956,Buyer,"1,049,900",03/30/2022,Residential
"1303 E 22nd Avenue, Columbus, OH 43211",40.004754,-82.973897,Seller/Listing,"134,900",04/01/2022,Residential
"5891 Trail View Crossing, Grove City, OH 43123",39.841311,-83.043686,Buyer,"478,900",04/01/2022,Residential
"507 Curry Drive, Pataskala, OH 43062",39.986951,-82.739126,Buyer,"346,900",04/07/2022,Residential
"271 N Oakley Avenue, Columbus, OH 43204",39.960411,-83.063922,Buyer,"152,000",04/08/2022,Residential
"4733 Arnold Avenue, OH 43228",39.949312,-83.126052,Buyer,"202,000",04/14/2022,Residential
"6387 Kelsey Court, Columbus, OH 43110",39.877909,-82.832019,Buyer,"275,000",04/19/2022,Residential
"7380 Bevelhymer Road, New Albany, OH 43054",40.104521,-82.792346,Buyer,"439,000",04/19/2022,Residential
"4618 Tylar Chase, Grove City, OH 43123",39.869842,-83.096254,Seller/Listing,"385,000",04/22/2022,Residential
"988 S 22nd Street, Columbus, OH 43206",39.944686,-82.973127,Seller/Listing,"355,000",05/09/2022,Residential
"220 E High Street, Ashley, OH 43003",40.409029,-82.952649,Buyer,"270,000",05/10/2022,Residential
"786 Mishey Road, Bellville, OH 44813 ",40.565394,-82.481361,Buyer,"325,000",05/10/2022,Residential
"2933 Azelda Street, Columbus, OH 43224",40.025482,-82.987164,Seller/Listing,"115,000",05/11/2022,Residential
"1045 Underwood South Drive, Marion, OH 43302",40.569498,-83.154410,Buyer,"176,000",05/13/2022,Residential
"14700 Clark State Road SW, Pataskala, OH 43062",40.047001,-82.766127,Buyer,"550,000",05/13/2022,Residential
"3165 Melbury Drive, Hilliard, OH 43221",40.040737,-83.103247,Buyer,"702,000",05/16/2022,Residential
"16 King Arthur Court, Westerville, OH 43081",40.107425,-82.925931,Buyer,"130,000",05/20/2022,Residential
"537 W 3rd Avenue, Columbus, OH 43201",39.983948,-83.019467,Buyer,"330,000",05/24/2022,Residential
"2737 Steele Avenue, Columbus, OH 43204",39.958518,-83.074115,Buyer,"107,800",06/07/2022,Residential
"1716 Impatiens Way, OH 43035",40.179877,-83.000993,Seller/Listing,"395,000",06/12/2022,Residential
"340 Fondriest Road, Johnstown, OH 43031",40.14949,-82.669949,Buyer,"458,900",06/15/2022,Residential
"2976 Avalon Road, Upper Arlington, OH 43221",40.016706,-83.073934,Buyer,"925,000",06/22/2022,Residential
"128 Hamilton Avenue, Columbus, OH 43203",39.967135,-82.981621,Buyer,"280,000",07/01/2022,Residential
"606 Raab Street, Pickerington, OH 43147",39.875476,-82.769923,Buyer,"390,000",07/15/2022,Residential
"3267 Oaklawn Street, Columbus, OH 43224",40.033997,-82.968223,Buyer,"165,000",07/29/2022,Residential
"4651 Hobson Drive 12D, Columbus, OH 43228",39.912067,-83.115934,Seller/Listing,"165,000",08/17/2022,Residential
"375 S Wheatland Avenue, Columbus, OH 43204",39.947645,-83.061503,Buyer,"192,000",08/26/2022,Residential
"6016 Pennington Creek Drive, Columbus, OH 43016",40.065240,-83.181367,Seller/Listing,"285,000",08/30/2022,Residential
"322 Rivers End Road, Gahanna, OH 43230",40.011309,-82.873208,Buyer,"310,000",08/31/2022,Residential
"811 Hillman Road S, Columbus, OH 43207",39.880887,-82.979861,Seller/Listing,"190,000",08/31/2022,Residential
"41 Burt Avenue, Newark, OH 43055",40.046385,-82.424866,Buyer,"145,000",09/02/2022,Residential
